Country Name,year,men,women,Year,Count,percentage_women,total,percentage_women_better
afghanistan,1936,21,0,,,,21,0.0
afghanistan,1948,30,0,,,,30,0.0
afghanistan,1956,16,0,,,,16,0.0
afghanistan,1960,20,0,1960.0,8996973.0,0.0,20,0.0
afghanistan,1964,8,0,1964.0,9744781.0,0.0,8,0.0
afghanistan,1968,5,0,1968.0,10637063.0,0.0,5,0.0
afghanistan,1972,8,0,1972.0,11791215.0,0.0,8,0.0
afghanistan,1980,11,0,1980.0,13356511.0,0.0,11,0.0
afghanistan,1988,5,0,1988.0,11618005.0,0.0,5,0.0
afghanistan,1996,2,0,1996.0,18853437.0,0.0,2,0.0
afghanistan,2004,3,2,2004.0,24726684.0,8.088427870069436e-06,5,40.0
afghanistan,2008,3,1,2008.0,27722276.0,3.607207431309031e-06,4,25.0
afghanistan,2012,5,1,2012.0,31161376.0,3.209100907482391e-06,6,16.666666666666664
afghanistan,2016,2,1,2016.0,35383128.0,2.8262057554662776e-06,3,33.33333333333333
afghanistan,2020,4,1,2020.0,36296400.0,2.7550941691187007e-06,5,20.0
albania,1972,1,0,1972.0,2243126.0,0.0,1,0.0
albania,1992,7,2,1992.0,3247039.0,6.159457893791851e-05,9,22.22222222222222
albania,1996,3,6,1996.0,3168033.0,0.0001893919665609544,9,66.66666666666666
albania,2000,2,3,2000.0,3089027.0,9.711795979769682e-05,5,60.0
albania,2004,5,2,2004.0,3026939.0,6.607335000804443e-05,7,28.57142857142857
albania,2006,3,0,2006.0,2992547.0,0.0,3,0.0
albania,2008,7,5,2008.0,2947314.0,0.0001696459895348782,12,41.66666666666667
albania,2010,2,0,2010.0,2913021.0,0.0,2,0.0
albania,2012,7,3,2012.0,2900401.0,0.0001034339734402243,10,30.0
albania,2014,2,2,2014.0,2889104.0,6.922561458500629e-05,4,50.0
albania,2016,3,3,2016.0,2876101.0,0.00010430788070377223,6,50.0
albania,2018,2,2,,,,4,50.0
albania,2020,6,4,2020.0,2873457.0,0.00013920514557900119,10,40.0
albania,2022,2,0,,,,2,0.0
algeria,1964,7,0,1964.0,12221675.0,0.0,7,0.0
algeria,1968,9,0,1968.0,13663583.0,0.0,9,0.0
algeria,1972,7,0,1972.0,15285990.0,0.0,7,0.0
algeria,1980,73,1,1980.0,19221665.0,5.202462950009794e-06,74,1.3513513513513513
algeria,1984,35,0,1984.0,21763575.0,0.0,35,0.0
algeria,1988,43,5,1988.0,24443467.0,2.0455363390144286e-05,48,10.416666666666668
algeria,1992,41,6,1992.0,27028326.0,2.2198933074878555e-05,47,12.76595744680851
algeria,1996,43,6,1996.0,29266405.0,2.050132224986294e-05,49,12.244897959183673
algeria,2000,41,11,2000.0,31042235.0,3.543559283021986e-05,52,21.153846153846153
algeria,2004,54,18,2004.0,32692163.0,5.505906721436572e-05,72,25.0
algeria,2006,1,2,2006.0,33641002.0,5.945126129120649e-06,3,66.66666666666666
algeria,2008,38,24,2008.0,34730608.0,6.91033108317597e-05,62,38.70967741935484
algeria,2010,1,0,2010.0,35977455.0,0.0,1,0.0
algeria,2012,22,18,2012.0,37383887.0,4.8149086262752715e-05,40,45.0
algeria,2016,66,13,2016.0,40551404.0,3.205807621358807e-05,79,16.455696202531644
algeria,2020,30,15,2020.0,41389198.0,3.6241340071387704e-05,45,33.33333333333333
american samoa,1988,6,0,1988.0,44343.0,0.0,6,0.0
american samoa,1992,3,0,1992.0,49896.0,0.0,3,0.0
american samoa,1994,2,0,1994.0,52095.0,0.0,2,0.0
american samoa,1996,4,1,1996.0,54211.0,0.0018446440759255502,5,20.0
american samoa,2000,3,1,2000.0,57821.0,0.001729475450095986,4,25.0
american samoa,2004,2,1,2004.0,59681.0,0.0016755751411672054,3,33.33333333333333
american samoa,2008,2,2,2008.0,57492.0,0.0034787448688513188,4,50.0
american samoa,2012,4,1,2012.0,55667.0,0.0017963964287638996,5,20.0
american samoa,2016,3,1,2016.0,55741.0,0.001794011589314867,4,25.0
american samoa,2020,5,1,2020.0,55620.0,0.0017979144192736428,6,16.666666666666664
american samoa,2022,1,0,,,,1,0.0
andorra,1976,12,0,1976.0,31777.0,0.0,12,0.0
andorra,1980,9,0,1980.0,36067.0,0.0,9,0.0
andorra,1984,6,0,1984.0,42706.0,0.0,6,0.0
andorra,1988,10,5,1988.0,50434.0,0.009913946940555973,15,33.33333333333333
andorra,1992,17,4,1992.0,58888.0,0.006792555359326178,21,19.047619047619047
andorra,1994,8,6,1994.0,62677.0,0.009572889576718733,14,42.857142857142854
andorra,1996,6,2,1996.0,64360.0,0.003107520198881293,8,25.0
andorra,1998,5,2,1998.0,64142.0,0.003118081756103645,7,28.57142857142857
andorra,2000,3,2,2000.0,65390.0,0.003058571647040832,5,40.0
andorra,2002,3,2,2002.0,70049.0,0.0028551442561635426,5,40.0
andorra,2004,4,2,2004.0,76244.0,0.0026231572320444888,6,33.33333333333333
andorra,2006,10,0,2006.0,80993.0,0.0,10,0.0
andorra,2008,3,2,2008.0,83862.0,0.0023848703822947222,5,40.0
andorra,2010,13,7,2010.0,84449.0,0.008289026513043375,20,35.0
andorra,2012,4,2,2012.0,82427.0,0.002426389411236609,6,33.33333333333333
andorra,2014,7,5,2014.0,79213.0,0.006312095236892934,12,41.66666666666667
andorra,2016,2,2,2016.0,77297.0,0.0025874225390377374,4,50.0
andorra,2018,11,1,,,,12,8.333333333333332
andorra,2020,1,2,2020.0,77001.0,0.0025973688653394113,3,66.66666666666666
andorra,2022,5,7,,,,12,58.333333333333336
angola,1980,21,2,1980.0,8341289.0,2.3977109533070965e-05,23,8.695652173913043
angola,1988,23,11,1988.0,11068050.0,9.938516721554383e-05,34,32.35294117647059
angola,1992,39,7,1992.0,12657366.0,5.530376541217186e-05,46,15.217391304347828
angola,1996,14,20,1996.0,14400719.0,0.00013888195443574727,34,58.82352941176471
angola,2000,15,16,2000.0,16395473.0,9.758791344415621e-05,31,51.61290322580645
angola,2004,14,17,2004.0,18758145.0,9.062729816834234e-05,31,54.83870967741935
angola,2008,18,15,2008.0,21695634.0,6.913833446858479e-05,33,45.45454545454545
angola,2012,7,30,2012.0,25107931.0,0.00011948415821279738,37,81.08108108108108
angola,2016,8,18,2016.0,28842484.0,6.240793962128921e-05,26,69.23076923076923
angola,2020,4,16,2020.0,29816748.0,5.366111689980409e-05,20,80.0
antigua and barbuda,1976,20,0,1976.0,62367.0,0.0,20,0.0
antigua and barbuda,1984,22,8,1984.0,61786.0,0.012947917003852005,30,26.666666666666668
antigua and barbuda,1988,25,4,1988.0,61771.0,0.006475530588787619,29,13.793103448275861
antigua and barbuda,1992,12,4,1992.0,64471.0,0.006204339935785081,16,25.0
antigua and barbuda,1996,7,11,1996.0,70173.0,0.0156755447251792,18,61.111111111111114
antigua and barbuda,2000,1,2,2000.0,76016.0,0.002631025047358451,3,66.66666666666666
antigua and barbuda,2004,3,2,2004.0,80336.0,0.00248954391555467,5,40.0
antigua and barbuda,2008,4,1,2008.0,85397.0,0.0011710013232314952,5,20.0
antigua and barbuda,2012,2,2,2012.0,90409.0,0.002212169142452632,4,50.0
antigua and barbuda,2016,8,2,2016.0,94527.0,0.002115797602801316,10,20.0
antigua and barbuda,2020,3,3,2020.0,95426.0,0.003143797287950873,6,50.0
argentina,1900,6,0,,,,6,0.0
argentina,1908,1,0,,,,1,0.0
argentina,1920,1,0,,,,1,0.0
argentina,1924,132,0,,,,132,0.0
argentina,1928,135,0,,,,135,0.0
argentina,1932,61,0,,,,61,0.0
argentina,1936,62,2,,,,64,3.125
argentina,1948,314,22,,,,336,6.547619047619048
argentina,1952,177,23,,,,200,11.5
argentina,1956,24,1,,,,25,4.0
argentina,1960,117,4,1960.0,20481779.0,1.9529553560752706e-05,121,3.3057851239669422
argentina,1964,145,15,1964.0,21824425.0,6.873033310155937e-05,160,9.375
argentina,1968,127,21,1968.0,23168267.0,9.064122059712106e-05,148,14.18918918918919
argentina,1972,103,10,1972.0,24653175.0,4.056272670761474e-05,113,8.849557522123893
argentina,1976,88,18,1976.0,26264681.0,6.853309964054008e-05,106,16.9811320754717
argentina,1980,26,0,1980.0,27896528.0,0.0,26,0.0
argentina,1984,118,28,1984.0,29737093.0,9.415849760432198e-05,146,19.17808219178082
argentina,1988,122,52,1988.0,31668949.0,0.00016419869191112088,174,29.88505747126437
argentina,1992,136,45,1992.0,33529326.0,0.00013421086961306648,181,24.861878453038674
argentina,1994,7,13,1994.0,34402672.0,3.778776253193357e-05,20,65.0
argentina,1996,144,69,1996.0,35246374.0,0.000195764818247687,213,32.3943661971831
argentina,1998,1,5,1998.0,36063459.0,1.3864449330830967e-05,6,83.33333333333334
argentina,2000,107,52,2000.0,36870787.0,0.00014103306229942963,159,32.70440251572327
